Abc1,Abc,Abc,Abc,15-04-2018,8999,15-04-2018,1.20,15-04-2018
uydnvsynbuqfdfhwbsprrtxkejojlncwktgvbcvjuyaezozloahltdosptxtexxfalvreqkiihiefuokmgaxnlnexdgnlwaxmupavgupuuqdbktuffgqbvuzghvveekpzhzygfmiaalemcuefjtwcpuyilpyezzqwmbffumpyiflnaupdztjqbuwhqosplodvqbfnvphbzsyrxcowvckojxghiwuiqdkeocksvhbhafkjcpzughqewjxhdvhoxadftazduddnibpleivzxumqrzjwqpzwolrgzeaapojgdknuwizfisqrwaoevapndhwpajvwosyxigjqofrazeabyzahivznhxmzqcxpdgrddoirsiwleeazmvyfnvksmehuggwspvvetsgvfultaytzwbutmqyojlyagwnozccumrzamypvhaekqpxbgfngthadqazvlcfkazlefsctyjrzubgygvnhlhlghvefadggpniimwwdwma,Abc,Abc,Abc,15-04-2018,8999,15-04-2018,1.20,15-04-2018
,Abc,Abc,Abc,15-04-2018,8999,15-04-2018,1.20,15-04-2018
Abc,uydnvsynbuqfdfhwbsprrtxkejojlncwktgvbcvjuyaezozloahltdosptxtexxfalvreqkiihiefuokmgaxnlnexdgnlwaxmupavgupuuqdbktuffgqbvuzghvveekpzhzygfmiaalemcuefjtwcpuyilpyezzqwmbffumpyiflnaupdztjqbuwhqosplodvqbfnvphbzsyrxcowvckojxghiwuiqdkeocksvhbhafkjcpzughqewjxhdvhoxadftazduddnibpleivzxumqrzjwqpzwolrgzeaapojgdknuwizfisqrwaoevapndhwpajvwosyxigjqofrazeabyzahivznhxmzqcxpdgrddoirsiwleeazmvyfnvksmehuggwspvvetsgvfultaytzwbutmqyojlyagwnozccumrzamypvhaekqpxbgfngthadqazvlcfkazlefsctyjrzubgygvnhlhlghvefadggpniimwwdwma,Abc,Abc,15-04-2018,8999,15-04-2018,1.20,15-04-2018
Abc,,Abc,Abc,15-04-2018,8999,15-04-2018,1.20,15-04-2018
Abc,Abc,uydnvsynbuqfdfhwbsprrtxkejojlncwktgvbcvjuyaezozloahltdosptxtexxfalvreqkiihiefuokmgaxnlnexdgnlwaxmupavgupuuqdbktuffgqbvuzghvveekpzhzygfmiaalemcuefjtwcpuyilpyezzqwmbffumpyiflnaupdztjqbuwhqosplodvqbfnvphbzsyrxcowvckojxghiwuiqdkeocksvhbhafkjcpzughqewjxhdvhoxadftazduddnibpleivzxumqrzjwqpzwolrgzeaapojgdknuwizfisqrwaoevapndhwpajvwosyxigjqofrazeabyzahivznhxmzqcxpdgrddoirsiwleeazmvyfnvksmehuggwspvvetsgvfultaytzwbutmqyojlyagwnozccumrzamypvhaekqpxbgfngthadqazvlcfkazlefsctyjrzubgygvnhlhlghvefadggpniimwwdwma,Abc,15-04-2018,8999,15-04-2018,1.20,15-04-2018
Abc,Abc,,Abc,15-04-2018,8999,15-04-2018,1.20,15-04-2018
Abc,Abc,Abc,uydnvsynbuqfdfhwbsprrtxkejojlncwktgvbcvjuyaezozloahltdosptxtexxfalvreqkiihiefuokmgaxnlnexdgnlwaxmupavgupuuqdbktuffgqbvuzghvveekpzhzygfmiaalemcuefjtwcpuyilpyezzqwmbffumpyiflnaupdztjqbuwhqosplodvqbfnvphbzsyrxcowvckojxghiwuiqdkeocksvhbhafkjcpzughqewjxhdvhoxadftazduddnibpleivzxumqrzjwqpzwolrgzeaapojgdknuwizfisqrwaoevapndhwpajvwosyxigjqofrazeabyzahivznhxmzqcxpdgrddoirsiwleeazmvyfnvksmehuggwspvvetsgvfultaytzwbutmqyojlyagwnozccumrzamypvhaekqpxbgfngthadqazvlcfkazlefsctyjrzubgygvnhlhlghvefadggpniimwwdwma,15-04-2018,8999,15-04-2018,1.20,15-04-2018
Abc,Abc,Abc,,15-04-2018,8999,15-04-2018,1.20,15-04-2018
Abc,Abc,Abc,Abc,,8999,15-04-2018,1.20,15-04-2018
Abc,Abc,Abc,Abc,,8999,15-04-2018,1.20,15-04-2018
Abc,Abc,Abc,Abc,15-04-2018,8999,,1.20,15-04-2018
Abc,Abc,Abc,Abc,15-04-2018,8999,,1.20,15-04-2018
Abc,Abc,Abc,Abc,15-04-2018,8999,15-04-2018,,15-04-2018
Abc,Abc,Abc,Abc,15-04-2018,8999,15-04-2018,,15-04-2018
Abc,Abc,Abc,Abc,15-04-2018,8999,15-04-2018,1.20,
Abc,Abc,Abc,Abc,15-04-2018,8999,15-04-2018,1.20,
Abc,Abc,Abc,Abc,15-04-2018,100,15-04-2018,1.20,15-04-2018
Abc,Abc,Abc,Abc,15-04-2018,,15-04-2018,1.20,15-04-2018
