Abc1,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,15-04-2018,-
Abc2,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,,15-04-2018,-
Abc3,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,,15-04-2018,-
Abc4,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,,-
Abc5,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,,-
Abc6,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,15-04-2018,Voller Steuersatz
Abc7,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,,15-04-2018,Voller Steuersatz
Abc8,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,,15-04-2018,Voller Steuersatz
Abc9,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,,Voller Steuersatz
Abc10,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,,Voller Steuersatz
Abc11,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,15-04-2018,Geminderter Steuersatz
Abc12,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,,15-04-2018,Geminderter Steuersatz
Abc13,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,,15-04-2018,Geminderter Steuersatz
Abc14,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,,Geminderter Steuersatz
Abc15,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,,Geminderter Steuersatz
Abc16,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,15-04-2018,Kein Steuersatz
Abc17,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,,15-04-2018,Kein Steuersatz
Abc18,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,,15-04-2018,Kein Steuersatz
Abc19,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,,Kein Steuersatz
Abc20,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,-,1.20,,Kein Steuersatz
Abc21,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,vorschüssig,1.20,15-04-2018,-
Abc22,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,vorschüssig,,15-04-2018,-
Abc23,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,vorschüssig,,15-04-2018,-
Abc24,Nutzungsrecht Grundstücke und Gebäude,Miete Grundstücke und Gebäude,15-04-2018,,-,vorschüssig,1.20,,-
